symptom1,symptom2,associated_disease
dor no peito,aperto no peito,Infarto
falta de ar,dificuldade para respirar,Insuficiencia Cardiaca
cansaco constante,fadiga,Insuficiencia Cardiaca
palpitacoes,coracao acelerado,Arritmia
tontura,fraqueza,Hipotensao
inchaço nas pernas,inchaço nos tornozelos,Insuficiencia Cardiaca
suor frio,sudorese,Infarto
dor no braco esquerdo,dor irradiada,Infarto
pressao no peito,peso no peito,Angina
batimentos irregulares,ritmo irregular,Arritmia
dor no maxilar,dor na mandibula,Infarto
dor no pescoco,dor cervical,Infarto
dor nas costas,dor dorsal,Infarto
queimacao no peito,azia cardiaca,Refluxo ou Angina
nausea,enjoo,Infarto
mal-estar geral,indisposicao,Infarto
dificuldade para dormir,insonia cardiaca,Insuficiencia Cardiaca
travesseiro molhado,sudorese noturna,Insuficiencia Cardiaca
coracao disparar,taquicardia,Arritmia
sensacao estranha no peito,desconforto toracico,Angina
esforco fisico,atividade fisica,Angina
subir escadas,esforco,Angina
caminhada rapida,exercicio leve,Angina
levantar rapidamente,mudanca postural,Hipotensao
ficar em pe,posicao ortoestatica,Hipotensao
atividades simples,esforco minimo,Insuficiencia Cardiaca
depois das refeicoes,pos-prandial,Angina
final do dia,periodo vespertino,Insuficiencia Cardiaca
quando me deito,decubito,Insuficiencia Cardiaca
varios travesseiros,ortopneia,Insuficiencia Cardiaca
vai e vem,intermitente,Angina
sem motivo aparente,espontaneo,Arritmia
quando fico nervoso,estresse emocional,Angina
piora a noite,periodo noturno,Angina
